enchainement,nombre de repetitions
"('system', 'intrusion', 'explainable', 'detection')",3
"('cybersecurity', 'systematic', 'intelligence', 'literature')",3
"('intrusion', 'system', 'detection', 'learning')",3
"('infrastructure', 'framework', 'improving', 'cybersecurity')",3
"('framework', 'improving', 'cybersecurity', 'critical')",3
"('artificial', 'review', 'cybersecurity', 'comprehensive')",3
"('system', 'control', 'cybersecurity', 'industrial')",3
"('cybersecurity', 'science', 'dynamic', 'foundation')",2
"('using', 'neural', 'deep', 'network')",2
"('ai', 'threatgpt', 'generative', 'privacy')",2
"('threatgpt', 'generative', 'privacy', 'chatgpt')",2
"('generative', 'privacy', 'chatgpt', 'cybersecurity')",2
"('privacy', 'chatgpt', 'cybersecurity', 'impact')",2
"('survey', 'explainable', 'artificial', 'cybersecurity')",2
"('explainable', 'artificial', 'cybersecurity', 'intelligence')",2
"('adversarial', 'attack', 'realistic', 'network')",2
"('learning', 'role', 'machine', 'cybersecurity')",2
"('opportunity', 'risk', 'threat', 'review')",2
"('risk', 'threat', 'review', 'cybersecurity')",2
"('threat', 'review', 'cybersecurity', 'quantum')",2
"('evaluation', 'intrusion', 'system', 'detection')",2
"('open', 'art', 'issue', 'cybersecurity')",2
"('art', 'issue', 'cybersecurity', 'challenge')",2
"('issue', 'cybersecurity', 'challenge', 'direction')",2
"('cybersecurity', 'challenge', 'direction', 'state')",2
