word,frequence
cybersecurity,1214
learning,215
system,169
detection,167
security,148
attack,137
risk,122
network,118
cyber,115
using,113
challenge,112
framework,108
review,107
data,106
threat,103
analysis,103
approach,95
machine,94
model,89
survey,82
deep,76
intelligence,71
smart,65
application,61
awareness,57
artificial,56
information,56
adversarial,56
assessment,55
research,54
iot,52
internet,51
study,51
future,50
vulnerability,50
based,46
vehicle,46
game,45
intrusion,45
education,44
management,44
control,42
thing,41
anomaly,41
towards,41
privacy,40
malware,39
systematic,39
ai,37
perspective,37
case,36
industrial,36
training,35
issue,35
environment,34
graph,34
method,33
device,33
impact,33
digital,33
critical,32
technology,32
literature,31
quantum,30
grid,30
dynamic,29
automated,29
evaluation,29
social,29
neural,29
industry,29
modeling,28
algorithm,28
defense,28
human,28
strategy,27
behavior,27
development,26
solution,26
distributed,26
comprehensive,25
infrastructure,25
technique,25
exploring,25
communication,24
federated,24
via,24
policy,24
power,23
new,23
sharing,22
language,22
computing,22
healthcare,22
role,21
science,21
knowledge,21
design,21
blockchain,21
practice,21
